ATP40.txt	40
683	138	
56		
67	47	5
61	48	2
38	16	7
78	16	3
265	12	1
176	14	1
46	26	2
59	30	4
67	34	9
267	36	2
111	34	2
270	28	3
165	51	3
177	11	1
100	41	8
78	53	9
118	10	6
146	31	8
259	17	3
39	50	8
179	21	5
250	47	4
164	43	2
140	24	2
245	20	6
65	18	4
71	33	8
185	42	3
245	22	6
257	22	7
102	29	4
184	44	7
57	24	6
99	10	2
162	11	5
263	46	6
127	16	9
250	15	8
84	54	9
96	47	2
190	34	7
34	6	3
258	34	7
253	36	6
134	20	3
223	42	8
107	33	9
190	48	6
150	23	2
77	36	7
150	46	9
83	20	6
165	10	7
122	50	9
237	37	6
248	47	3
