ATP43.txt	43
362	917	
49		
104	192	3
123	101	7
56	298	2
106	220	4
32	189	5
100	336	6
44	211	4
82	359	8
28	190	3
143	149	5
29	295	8
88	66	8
84	329	5
102	294	6
52	349	1
130	185	7
35	362	2
79	231	8
122	55	1
100	208	3
75	184	7
70	255	5
116	136	2
35	76	2
142	355	4
101	89	9
39	313	8
19	65	9
62	49	9
122	46	9
45	148	6
61	339	5
68	148	5
20	272	7
72	207	6
119	192	9
58	230	4
142	302	3
110	333	3
112	171	7
118	52	9
48	221	1
90	170	9
63	353	1
31	78	2
37	227	7
31	326	5
115	222	5
51	66	5
