ATP32.txt	2
307	124	
56		
99	18	2
80	17	2
67	16	2
70	44	2
23	36	2
51	16	2
58	8	9
53	25	3
98	19	6
117	21	1
52	11	3
77	41	2
72	27	9
92	35	7
81	46	6
23	18	4
64	21	1
99	37	1
47	34	5
109	32	2
95	37	7
96	29	7
105	19	8
105	13	1
46	19	8
55	42	5
95	43	6
42	6	2
49	42	1
26	10	2
28	19	5
59	9	2
16	14	5
99	37	7
55	45	8
51	20	7
29	26	7
39	15	5
99	15	8
47	39	4
84	14	5
106	12	6
32	14	7
72	33	7
52	21	2
51	26	5
62	23	1
100	29	4
68	32	1
37	27	3
51	13	4
19	30	6
60	22	2
64	9	4
118	28	8
120	24	8
