ATP31.txt	1
856	964	
51		
290	350	4
328	292	3
240	206	1
246	126	9
250	279	7
71	353	9
67	127	9
209	275	1
317	264	6
119	228	2
331	50	4
138	163	7
60	339	2
187	298	1
73	104	7
164	123	8
250	189	5
228	143	5
154	345	5
70	297	4
198	376	8
170	100	7
295	292	6
238	177	7
195	187	3
252	132	5
313	148	6
175	162	6
44	206	5
164	366	6
161	339	9
62	81	5
304	165	2
284	302	6
261	376	6
183	80	4
224	163	2
212	366	8
46	75	6
66	158	5
179	207	7
314	98	2
96	107	1
320	380	3
211	82	3
252	53	6
74	183	6
274	72	1
65	240	7
229	321	4
265	280	7
